"Sentence Nr";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"604";"even though these ideas are being appreciated , it will not be easy to apply it to all educational institutions across the country .";"এই বাক্যটি হলেও আমি সাঁতার দু ঘন্টারও সাঁতার সময় যাবো।";"0.517375"
"605";"for this reason , it is necessary to include these topics in broad campaign and teacher training .";"এই রাস্তা যদি খুব সমস্ত জন "" না , হয়তো দেখে মেনে";"2.054015"
"606";"the adverse effects of physical and mental punishment on the minds of the students in the classroom stays with the students throughout their life .";"সূর্য পূর্বদিকে উদয় হয় তাদের দুটোই স্থির একদমই অপেক্ষা করতে হয়নি।";"0.524814"
"607";"the development of their personality is hampered due to the physical and emotional punishments of the time when the role of the person in the formation of a person's personality is maximum .";"সূর্য পূর্বদিকে উদয় হয় আপনাকে পশ্চিম একদমই অপেক্ষা করতে হয়নি।";"0.210349"
"608";"many people begin to feel hostile about their studies .";"ওই রাস্তা ধরে অনুবাদ করা না , আমি অনেক খেয়েছিলেন ?";"1.873888"
"609";"in our country , our country was indifferent with the importance of primary and secondary education in the minds of the students , while the education system of many countries was created with great importance o students psychology .";"সাধারণ চড়াই উতরাই আছে। তাদের আছে।";"0.016586"
"610";"if all the steps in the education sector have played a role in the indifference , it will definitely bring positive results .";"যদি যদি যদি কোনো ডাক্তারের পরামর্শ মানতেন , তাহলে হয়তো এখনো বেঁচে থাকতেন।";"1.431374"
"611";"if education with fun can be managed in the class , all the students in the class can manage to learn a topic happily , nd learning becomes enjoyable .";"যদি যদি যদি যদি তাহলে করি , তাহলে তাহলে হয়তো এখনো বেঁচে থাকতেন।";"0.835415"
"612";"and it is also one of the preconditions for achieving the goal of adopting a creative education system instead of punishing or replacing the faculty education system .";"রাতটা কুয়াশার গরম করা তাদের প্রথম ওনাদেরকে তাহলে আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.598706"
"613";"time scale canceled";"সবাইকে সুখ নেই।";"22.590050"
"614";"private college teacher's diary";"লিঙ্কন ১৮৬৫ ক্ষেত্রে লোক হবে।";"5.341088"
"615";"three eggs is needed in the breakfast now .";"তিনজন প্রায় ঘটনা বস্টনে পছনে হন।";"2.461513"
"616";"two were needed few days ago .";"এখনকার কারুর লিপিবদ্ধ নিজেরাই হবে।";"3.580238"
"617";"due to being pregnant , along with father and children myself has to eat them .";"রাতটা কুয়াশার জন্য একজনকেও দেখা যাচ্ছিলো উচিৎ করতে হবে।";"1.095204"
"618";"although i do not want to eat .";"আমি কাজ করতে চাই না।";"2.931251"
"619";"demand is increasing day by day in the family .";"যুদ্ধে ডে লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"2.139090"
"620";"taking the daughter to school after finishing breakfast .";"দ্বিতীয় ইয়র্কের তিনবার ঘটেছে।";"2.288253"
"621";"today is also the date of the school's fees .";"জীবনে ঢোকার নির্বাচনের দিন।";"1.782093"
"622";"it took a lot of money for readmission , new books , new dress in the last month .";"কয়েক পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.905510"
"623";"tuition must be paid today- says the daughter .";"রাতটা কুয়াশার মানুষ তাদের প্রাণ হারিয়েছিলেন।";"2.461513"
"624";"she does not understand , her parents' salary has been stopped for two months .";"উনি জানিনা যে মেরি নোংরা জন বিয়ে করেছে তখন তাকে দেখে বেশ অবাক মনে হয় না।";"1.222797"
"625";"rima ( pseudonym ) and her husband taught in two private colleges in an upazila in panchagarh district .";"রাতটা কুয়াশার জন্য অনুবাদ থামে , মানতেন , তাহলে হয়তো এখনো মেনে";"0.944893"
"626";"returning from the college , i have to put the marketing list to the husband .";"ভারী পাতা জায়গায় আমাদের একদমই অপেক্ষা করতে হবে।";"1.015788"
"627";"the day when there is no class in the morning , only then grocery shopping is done .";"সূর্য অনুযায়ী মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.983373"
"628";"at times there is no adjustment between the market currency and the available money .";"গত বাসটা এয়ারপোর্টের জন্য ঝগড়া মাতৃভাষা যায় ?";"1.151039"
"629";"the first one is growing , the other one is stopping at one place .";"সূর্য পূর্বদিকে উদয় হয় আর পশ্চিম দিকে অস্ত যায়।";"1.223911"
"630";"much like their job .";"গণতন্ত্র স্বাধীনতাকে তেমন পছন্দ করে।";"5.341088"
"631";"after getting the highest degree of the university , the entry of the private college in the absence of a golden deer of government jobs .";"ভারী কুয়াশার লক্ষ জন্য অনুবাদ করতে যায় ?";"0.291028"
"632";"the age of one of them is 15 years , the other is 12 years old .";"সূর্য পূর্বদিকে উদয় যে পৃথিবী পশ্চিম দিকে অস্ত যায়।";"0.980031"
"633";"after one era , the salary has reached 100 percent .";"দ্বিতীয় ট্রাফিক লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"1.854330"
"634";"they do not have to get anything out of it .";"দ্বিতীয় অন্তত যেতে করার জন্য চেষ্টা হবে।";"1.854330"
"635";"only one increment in the service life - that's only tk 125 .";"রাতটা কুয়াশার মানুষ তাদের প্রথম ভাষা হয়ত মেনে";"1.477963"
"636";"rima is not promoted to the position of her assistant professor after being trapped in the 5 : 2 ratio , and it is not expected from rima's husband because she is in the back row .";"রাতটা এতই গরম যে মিত্রই প্রাণ তাহলে আমি হয়ত বেঁচে হইনি।";"0.176291"
"637";"yet , in this stagnant state , time scale has sparked the hope .";"এই রাস্তা ধরে যাবেন আর ব্যাঙ্কের দিনে যায় ?";"1.367744"
"638";"apart from entering the seventh grade from the ninth grade , the salary has also been increased from tk 11,000 to tk 15,000 .";"এখনকার সময় মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.149520"
"639";"going to the market means walking on a burning fire .";"যুদ্ধে কুয়াশার লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"1.854330"
"640";"there are a number of creditors in the market and the price of the goods is too high . on the price of the goods .";"বসন্তের প্রত্যক্ষ একটা অসুবিধে হোলো যে পাঁচ কাপ অপেক্ষা করতে হয়নি।";"0.479208"
"641";"being a permanent resident of the area , it is possible to shop in a grocery store , cloth shop , and even fish and meat shops keeping the price to be paid later .";"রাতটা কুয়াশার জন্য একজনকেও হোলো "" এই চা আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.396631"
"642";"the shopkeepers also know that there is no time limit for getting paid in the private college .";"সূর্য পূর্বদিকে উদয় হয় তাই পশ্চিম একদমই অপেক্ষা করতে হয়নি।";"0.942718"
"643";"so the payment is due now , it will be paid after getting the salary .";"রাতটা কুয়াশার জন্য একজনকেও হোলো "" এই চা আর এক";"1.151438"
"644";"one of the people came to the house with an invitation card of halkhata .";"যুদ্ধে থাকার একটা অসুবিধে হোলো যে কথা বলার মতো কেউ থাকে না।";"1.318704"
"645";"in fact , because of two month delay of salary there is a little more due this time .";"জীবনে চড়াই উতরাই আছে। আছে।";"0.324792"
"646";"after the husband's going to the market , rima spend the most busy time before going to college .";"রাতটা থাকার সবচেয়ে এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.811020"
"647";"amidst the household chores , she has to calculate the expenditure of the family .";"যুদ্ধে কুয়াশার জন্য একজনকেও হোলো "" এই চা হারিয়েছিলেন।";"1.223911"
"648";"the housemaid has asked for an increase in her salary ;";"আবহবার্তা অনুযায়ী ১৯৪৫ ধরে পাঁচ দুটোই পথ।";"1.854330"
"649";"the girl's music , dance and painting class payment , costs for milk , the girl's and her travels expenditure , entertainment , socialization - rima stays in a circle .";"সূর্য পূর্বদিকে উদয় হয় মেরি পশ্চিম জন ঘন্টা স্থির শিশুর ঘটেছিলো।";"0.304171"
"650";"two months' salary can be found together , it is comforting to think about it .";"ভারী পাতা রেকর্ডারটা তাদের থামে , তাহলে আর এক কাপ কফি নিয়ে আসবেন।";"2.452471"
"651";"she thinks in her mind that during her delivery she can use some money from there .";"উনি খুব দেখলো যে মেরি আরে জন বিয়ে করেছে তখন তাকে দেখে বেশ অবাক মনে হয়েছিলো।";"1.148711"
"652";"rima's husband returned home with anger and pain in the worried face out on the market .";"ভারী পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"1.086065"
"653";"with the daily newspaper in his hand .";"ওই দুটো প্রশান্ত তাদের প্রাণ হারিয়েছিলেন।";"2.907934"
"654";"her husband told rima the description of an unprecedented phenomenon that the private teachers time scale has been canceled , even their grades have been withdrawn from seventh to ninth grade .";"ভারী পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টা অপেক্ষা করতে হয়নি।";"0.277738"
"655";"what a shame!";"কি চিৎকার!";"30.326533"
"656";"there are about six lakh teachers working in private schools in this country .";"বসন্তের প্রত্যক্ষ লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"1.207983"
"657";"about six years later , 30 thousand teachers were given time scales .";"প্রায় প্রায় আছেন ? মানুষ তাদের গ্রামবাসী কেউ থাকে না।";"1.554279"
"658";"those who are not promoted because of the obstacle of proportion , whose job was 15 - 18 years older , the time scale took them to an honorable position .";"কাঁচের ঘরে যারা থাকে তাদের ঢিল ছোড়া উচিৎ ছোড়া উচিৎ নয়।";"0.304171"
"659";"it was closed again!";"এটা সুখী পারে না।";"7.986789"
"660";"a feeling of childhood comes to the mind rima .";"ইংরাজির বদলে ব্রাজিলের লাতিন থেকে উৎপন্ন হয়েছে।";"2.139090"
"661";"mother gave her a new coat .";"এই ধরনের দু অন্ধ।";"3.772692"
"662";"rima was delighted , but after a while her mother took off the shirt .";"ভ্যালেন্টাইন পাতা ইংরাজি অনুবাদ করতে যাও!";"0.905540"
"663";"because , the shirt was not bought for her , it was bought for a relative .";"শাটেল বাসটা হলে আপনাকে অন্তত এক ঘন্টা অপেক্ষা করতে হবে।";"1.041864"
"664";"after taking off the new shirt , rima's eyes were flooded with water .";"ভারী কুয়াশার জন্য একজনকেও হোলো "" এই চা আর এক কাপ কফি নিয়ে আসবেন।";"1.419919"
"665";"today , that feeling came again .";"ওই ধরনের কাজ‌ই ক্লাস প্রাণ হারিয়েছিলেন।";"3.435318"
"666";"doing the calculation in her mind rima tried to find , how much extra money had to be paid for 30 thousand teachers ?";"ভারী কুয়াশার জন্য একজনকেও হোলো যে ব্যাঙ্কের প্রাণ ছোড়া আর এক";"0.574760"
"667";"about 10 - 12 crore taka";"প্রায় তিরিশজন গ্রামবাসী আহত হয়েছেন।";"4.372913"
"668";"in this country , the minister-mps spend more money in their houses-cars .";"জীবনে চড়াই উতরাই আছে।";"0.841801"
"669";"in this era , is there anyone who gets 100 tk for house rent and 150 tk for medical allowance .";"জীবনে চড়াই উতরাই আছে।";"0.113925"
"670";"do teachers of private schools not teach students ?";"এটাকে কি অন্য ভাষায় প্রকাশ করেছি যায় ?";"4.873499"
"671";"these educational institutions of the rural area are only for students who can not enroll at renown government institution .";"শত্রুর শত্রু ইংরাজি যে মিত্রই তাহলে তাহলে আমরা হয়ত মেনে নেয় না যে খাব।";"0.924991"
"672";"due to this the meritorious face like rima do not get much .";"ভারী কুয়াশার জন্য অনুবাদ করতে যান।";"1.263783"
"673";"in order to preserve their salary and allowances , the teachers of these private institutions have to work hard to get good results from these low meritorious students .";"জীবনে চড়াই উতরাই আছে। আছে।";"0.043956"
"674";"the dream of getting two months salary together has been torn apart because it sees light .";"সূর্য রাস্তা মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.086065"
"675";"after handling the disaster of four consecutive classes , rima has returned home again to join the household .";"রাতটা কুয়াশার জন্য একজনকেও দেখা করতে তাহলে তাই না ?";"0.853007"
"676";"strong attempts to survive the family anyway .";"ফ্রিজে গলাবার পরশু লন্ডনের বেঁকে যায় ?";"2.846513"
"677";"today the center of the discussion was the cancellation of time scale and the conflict between finance and education ministry .";"দিন। গরম সব সব সব সব সব বলো! আমার থেকে দিন।";"0.754971"
"678";"the conflict is in rima's mind too .";"তিন দিন সালে সালে গেছে।";"2.931251"
"679";"can she take care of the child whom she is bringing into world , and who is already there ?";"আপনি কি অন্য কোনো সাহায্য করতে যায় ? "" না , ধন্যবাদ। আমি খালি একটু ঘুরে দেখছি। """;"2.285464"
"680";"will they get trapped in hobbies and tensions , or will they become perfect citizen through practicing the values of their teacher parents ? teachers become good citizens in the ideals of parents ?";"যাই ইয়র্কের তাঁরা যাবেন যে কথা কি অনুগ্রহ করে তাহলে আমি হয়ত বাইরে বেরোতে পারবো।";"0.370239"
"681";"there is no chance to see it lightly .";"তাদের এসেই ওরকম আছে!";"2.288253"
"682";"ragging-disorder";"বিদায়।";"84.089642"
"683";"in the higher education institutes there is going on a type of silent violence called 'ragging' .";"জীবনে চড়াই উতরাই আছে।";"0.309681"
"684";"to welcome the new students with cruel and ugly behavior is called 'ragging' .";"এই বইটি সেই সমস্ত ছাত্রছাত্রীদের জন্য যাদের মাতৃভাষা যায় ?";"1.406370"
"685";"recently , while practicing such rights , one of the students of the chittagong marine academy has been stripped of his nails , one's is about to being lost , all the body have been injured of many , one is on the verge of losing mental balance .";"ভ্যালেন্টাইন পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টা অপেক্ষা করতে হয়নি।";"0.059218"
"686";"11 newbie student has already left the academy .";"দ্বিতীয় বিশ্বযুদ্ধ লক্ষ জন্য নিজের প্রাণ হারিয়েছিলেন।";"2.467579"
"687";"it is not that the marine academy authorities were not aware of the matter , but it is understood the statement of the commandant that they took it lightly .";"কয়েক জিনিসটা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.333118"
"688";"want to write fluent english ?";"তিরিশ গলাবার উপস্থিত এসেছে।";"4.844232"
"689";"while we can speak a little in english , many of us have a shaky state of writing .";"আমরা যদি খুব প্রথম জানাবেন। জন্য যাইই জন্য খালি পারি না।";"0.905510"
"690";"the writing of the university examinations , writing of a paper , the application for a fellowship or scholarship , 'the statement of purpose' is not very standard .";"সূর্য পূর্বদিকে উদয় হয় মেরি পশ্চিম জন দুটোই স্থির একদমই পথ।";"0.364821"
"691";"the weak sentence structure and the incomprehensible linguistic techniques lends us back .";"আবহবার্তা অনুযায়ী মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.562360"
"692";"talking about the lively and fluent writing in english has been done with nabira rahman who is working in an international finance management institute .";"ভারী কুয়াশার জন্য একজনকেও হোলো "" এই চা আর এক কাপ কফি করার মতো সাহস ছিলো না।";"0.714256"
"693";"she represented bangladesh in the 2014 un economic and social council youth forum conference .";"উনি যেহেতু ভাজ যে ও নিজেকে হত্যা করতে চলেছিলো , কিন্ত তা করার মতো সাহস ছিলো না।";"1.143478"
"694";"she said , how to bring enlightenment in english writing .";"উনি জানেন আক্ষরিক বসেছিলো , ইনি কাজ করলেন।";"3.795485"
"695";"write at least 300 words in english every day .";"আকাশ অন্তত তিনবার এসেছিলো , তাই এক";"2.139090"
"696";"many people are afraid to write english because they are not writing in english regularly .";"টম , থাকাটা অনেক বৃষ্টি থামে , না , আমি ইংরাজি অস্ট্রেলিয়া যাবো।";"1.226236"
"697";"the first and most effective way to send off these weaknesses is to write daily .";"সূর্য পূর্বদিকে উদয় হয় তাই পশ্চিম একদমই অপেক্ষা করতে হয়নি।";"1.151438"
"698";"regularly write something in at least 300 words per day .";"এখনকার দশ লক্ষ মানুষ তাদের প্রাণ অপেক্ষা করতে হবে।";"1.908841"
"699";"write about anything in the morning or before going to sleep at night .";"ট্রেনটা সময় মতোই এসেছিলো , তাই আমাদের একদমই অপেক্ষা করতে হয়নি।";"1.426592"
"700";"at first , at the beginning of writing at first there may be some difficulty .";"প্রথমে ঘরে এয়ারপোর্টের জন্য কটার সময় ছাড়ে ?";"1.015788"
"701";"write down 10 days regularly , and you will see that this impediment has gradually been cut off .";"কয়েক সপ্তাহে তারা অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"0.905510"
"702";"pay attention to grammar .";"একটু শেখা থাকার চেষ্টা করুন।";"5.341088"
"703";"focus on grammar in the beginning of writing in english .";"ট্রেনটা একা মতোই এসেছিলো , এসেছি।";"1.763751"
"704";"vulnerable grammar-knowledge makes many flawless writings difficult to understand .";"ভারী কুয়াশার জন্য একজনকেও বলার যাচ্ছিলো না।";"2.139090"
"705";"try to learn two or three rules of english grammar every day .";"নিউ ইয়র্কের হলে আপনাকে অন্তত এক ঘন্টা অপেক্ষা করতে হবে।";"1.554279"
"706";"read grammar with examples , do not memorize .";"কয়েক পাতা ইংরাজি অনুবাদ করতে হবে।";"2.461513"
"707";"you can apply a good english grammar book as 'reference' .";"আপনি বস্টনে যতক্ষণ ইচ্ছে কিভাবে করতে পারেন।";"1.854330"
"708";"read english newspaper regularly .";"আবহাওয়া কোন পড়ো।";"11.598118"
"709";"practice reading english daily along subject-related study .";"ভারী কুয়াশার জন্য অনুবাদ করার চেষ্টা হবে।";"2.846513"
"710";"the habit of reading newspaper will enhance your intellectual skills , and you will find many new topics for writing .";"সূর্য পূর্বদিকে উদয় হয় মেরি পশ্চিম একদমই অপেক্ষা করতে হয়নি।";"0.698383"
"711";"at first , you may not understand many words meaning , it will take time to understand .";"আপনি কি খুব বুঝতেই পারিনি ও কখনই মেনে নেয় না যে ও ভুল করেছে।";"1.067037"
"712";"read two consecutive weeks , you will see it has come within your understandability .";"মেরিকে এতই গরম অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"1.302622"
"713";"even if you do not know the meaning of one or two word , you can catch the meaning of the sentence .";"আপনি যদি দয়া বৃষ্টি হোলো আমি সাঁতার কাটতে যাবো।";"0.503165"
"714";"regular reading habit lessons will have a gradual effect on your writing .";"ভারী পাতা ইংরাজি অনুবাদ করতে যান।";"1.263783"
"715";"read subject-related journal-articles .";"একটু গুগল ব্যবহার করে।";"7.986789"
"716";"practice reading your favorite articles in english magazines or journals including time magazine , reader's digest , the economist .";"এই ধরনের যদি খুব সমস্ত হত্যা করতে চলেছিলো ,";"1.404446"
"717";"apply the style that has been applied in the magazines , in your own writing .";"রাতটা কুয়াশার জন্য একজনকেও হোলো "" এই চা হারিয়েছিলেন।";"1.095204"
"718";"if you practice at stretch for four weeks , you will find the change in your writing .";"আপনি যদি খাবার ডাক্তারের পরামর্শ মানতেন , তাহলে হয়তো এখনো বেঁচে থাকতেন।";"2.054015"
"719";"not just writing for writing .";"শহরটাকে শিক্ষকের জন্য ধৈর্য্য আয় হয়েছিল।";"4.058349"
"720";"you write pages after pages do not try to find out what was wrong , it would not help .";"আপনি খুব তেরো এসেছিলো , তাই প্রথম";"1.025270"
"721";"the mistakes will be there .";"হাসপাতালটায় ওখানে সফল হবে।";"4.844232"
"722";"in this case , you can ask someone who is efficient in english to check what you have written daily .";"সাধারণ ভাবে সব করা এক চড়াই আছে।";"0.444392"
"723";"after his opinion please correct the weakness and mistakes of yours .";"ভারী পাতা ইংরাজি অনুবাদ করতে মানতেন , তাহলে হয়তো এখনো বেঁচে থাকতেন।";"1.693249"
"724";"if you do not get anyone like this , you can request a teacher at the university or college .";"আপনি যদি উনি একটা ডাক্তারের সাথে মানতেন , তাহলে হয়তো এখনো বেঁচে থাকতেন।";"1.802913"
"725";"keep an eye on what's wrong , try to correct the mistakes .";"নিউ ইয়র্কের লক্ষ এসেছিলো , তাই কেউ বেরোলেন না। """;"3.108558"
"726";"you can try to know about free-hand writing and about your mistakes open from writeandimprove . com website .";"আপনি কি তোমার খেলার হাউস কোথায় পাব বলতে তোমরা না ?";"0.905510"
"727";"expand vocabulary .";"ধাঁধা ভেবে দেখুন।";"22.590050"
"728";"we use the most common words in writing .";"আমরা দক্ষিণ আমেরিকাতে ঘুরলাম।";"2.288253"
"729";"attention needs to be paid to the use of multi-dimensional words for fluent writing in english .";"অনুগ্রহ করে নুনটা হলে দেবেন। "" এই নাও। """;"0.980031"
"730";"using the diversity of the words in the same sentence or the same form without having to repeat it , it is very easy to make very short text interesting .";"রাতটা কুয়াশার কুয়াশার জন্য একজনকেও দেখা করতে যাচ্ছিলো তাই হয়ত কাপ বেরোতে মতো তা করার মতো সাহস ছিলো না।";"0.538251"
"731";"try every day to memorize new five to eight words .";"ট্রেনটা ঘরে মতোই এসেছিলো , তাই আমাদের একদমই ছিল না।";"1.898401"
"732";"find the effective words from the internet to learn , do not read the gre-gmat vocabulary at the beginning .";"ভারী কুয়াশার লক্ষ মানুষ তাদের প্রাণ ছোড়া উচিৎ এক";"0.702223"
"733";"give the time to enrich the vocabulary for two consecutive months .";"শত্রুর ইয়র্কের হলে আমি যাইই ঘন্টার";"1.492983"
"734";"decide in the which word to learn and recollect all day .";"ফুটবল এতই জায়গায় সব জন্য বরফ কাপ যান।";"1.674752"
"735";"it will be easy to remember if you write those words several times .";"আপনার এতই ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি সময় লেগেছিলো।";"1.426592"
"736";"learn to write beautiful sentences , create variations .";"তিন দিন তারাতারিই বৃষ্টি হবে।";"2.399905"
"737";"practice good writing for applying for higher education , writing different thesis papers and assignments including statement of purpose .";"ভারী সপ্তাহে আমাদের জন্য দু কাপ চা আর এক কাপ কফি নিয়ে আসবেন।";"0.901457"
"738";"you can learn such structures following some templates in the internet .";"আপনি যা মানুষ তাই অন্তত খেতে পারো তাই না ?";"1.717744"
"739";"practice writing the same sentence in many ways .";"দ্বিতীয় কুয়াশার জন্য একজনকেও কাঁচের যাচ্ছিলো";"2.461513"
"740";"in this way , practice six weeks , you will see changes in writing .";"সাধারণ এতই উতরাই আছে।";"0.510578"
"741";"you can get ideas about various syntax from owl . english . purdue . edu website .";"আপনি যেটা মানুষ অন্য অন্তত চা খেলতে পারো।";"0.896430"
"742";"follow , find out .";"বেরও।";"1.540156"
"743";"try to write following the way your favorite writers' writing .";"আপনি ঘরে আমাদের সাথে মাছ উদার মানুযদের মধ্যে একজন।";"1.908841"
"744";"try to understand the author's thoughts .";"চিঠিটা গতকাল বস্টন গেছেন।";"3.772692"
"745";"as long as your writing is not good enough , continue to practice .";"ভারী পাতা ইংরাজি অনুবাদ করতে পারো না ,";"2.608596"
"746";"make a map of what you want to write before writing something .";"তুমি সময় হয়ে মাছ বিয়ে করতে চাও ?";"1.477963"
"747";"split your time according to this map and practice writing to finish within this time .";"আপনার সমস্ত হয় খুব বিরক্তিকর থামে , মানতেন , কিন্ত তা করার মতো সাহস ছিলো না।";"1.222797"
"748";"what you are learning daily , practice it regularly .";"আপনি কি ওনারা কটার সময় তৈরি করবেন ?";"2.150424"
"749";"try to apply what you are learning from writing on facebook to e-mails .";"আপনি যাচ্ছেন খুব আটকাও। হাউস নিজের মতো রাখতে হবে নি।";"1.406370"
"750";"while writing a short message on facebook , it is better not to practice writing 'shortcut' .";"রাতটা কুয়াশার জন্য একজনকেও হোলো পুর্ব চা আর এক কাপ কফি নিয়ে আসবেন।";"1.135446"
"751";"take the help of grammarrlie , genezer software , with the help of a variety of apps-software-websites for writing online .";"প্রথমে থাকার যেন যে মেরি পার্ক কাপ চা আর এক কাপ কফি নিয়ে আসবেন।";"0.861225"
"752";"send your writing to magazines .";"আপনার যা কিভাবে দিন।";"4.844232"
"753";"you can learn writing from the free courses of writing in english ( www . coursera . org ) like youtube and coursera .";"প্রথমে খেলতে পরামর্শের জন্য আমাদের করা যান।";"0.289494"
"754";"do not write translating from bangla to english in the mind .";"বুঝতে আর জার্মান বলা যায় ?";"1.492983"
"755";"emphasize on the use of 'linking wards' and 'phrase' to create fluency in writing .";"ভারী কুয়াশার জন্য একজনকেও দেখা যাচ্ছিলো তখন তাকে দিনে কিনতে না ?";"1.318704"
"756";"start sending texts on the comments of good quality domestic and foreign magazines for diverse writing .";"রাতটা কুয়াশার মানুষ তাদের জন্য দু কাপ চা আর এক কাপ কফি নিয়ে আসবেন।";"1.146042"
"757";"maybe it will not be printed at the beginning , but continue to try .";"যাও! গলাবার মানুষ তাদের পৃথিবী জুড়ে পালন করা হয়।";"1.223911"
"758";"notice how parts were edited by the editor when printed .";"ভারী কুয়াশার লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"1.854330"
"759";"take suggestions without any hesitation from friends or colleagues who write good english .";"কয়েক পাতা ইংরাজি অনুবাদ করতে এক";"1.069769"
"760";"not everything of facebook is good .";"শহরটাকে পৃথিবীর আগে ভুতে মারা হবে।";"3.435318"
"761";"is everything of facebook good ?";"আগামীকালকের সীটটা ডেস্কের পৌঁছায় ?";"8.745825"
"762";"no , not everything of facebook is good .";"খেয়েছিলেন ? মধ্যে ১৯৪৫ বেঁকে সমাপ্ত হয়নি।";"2.467579"
"763";"facebook authorities has also admitted it .";"এরকম অন্তত তিনবার ঘটেছে।";"3.772692"
"764";"recently , facebook's chief operating officer sheryl sandberg has confessed this .";"কাঁচের ঘরে লক্ষ জন্য নিজের প্রথম";"1.492983"
"765";"she said that all facebook talk is not good for everyone .";"উনি এমনিতে যেখানে কিন্তু কটার কুকুর তাঁর পছনে পেছনে যেত।";"1.717744"
"766";"a few months before this comment , the authority acknowledged some bad effects of facebook .";"অনেকেই প্রত্যক্ষ যে টম আমাদের দলের সব থেকে ভালো খেলোয়ার।";"1.151438"
"767";"then said , when users circulates aimlessly amid the facebook posts , the mental state starts to get worse .";"ট্রেনটা শুনবেন , অন্য পার্ক কাপ জানার জন্য উৎসুক করবেন ?";"1.653643"
"768";"sheryl said , facebook has brought changes in the news feed .";"যুদ্ধে দশ লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"1.607477"
"769";"now those with whom the user has more contacts , their posts are shown more in the news feed .";"প্রথমে যাওয়ার সমস্ত গরম যে আমি পুরোদিন আমার শীততাপ নিয়ন্ত্রিত বাড়িতে থাকতে চাই।";"0.901457"
"770";"studies show that some types of social media use have negative effects on people .";"ভারী কুয়াশার জন্য অনুবাদ করতে যান।";"0.905540"
"771";"after knowing this , facebook has brought changes .";"জীবনে করে ১৯৪৫ উদ্দেশ্যে জুড়ে প্রাণ হারিয়েছিলেন।";"2.467579"
"772";"a report related to this has been published in variety . com .";"এই অন্ধকারের লক্ষ মানুষ তাদের প্রাণ হারিয়েছিলেন।";"1.393487"
"773";"sheryl took part in wednesday's conference on 'morgan stanley's 2012 technologies , media and telecom . '";"রাতটা কুয়াশার জন্য একজনকেও হোলো "" এই চা আর এক কাপ কফি নিয়ে আসবেন।";"1.146042"
"774";"she said that the study found that all types of communication through social media is not good for everyone .";"ও যখন দেখলো যে ও নিজেকে হত্যা করতে চলেছিলো , কিন্ত তা করার মতো সাহস ছিলো না।";"0.958490"
"775";"there are two aspects of social communication that are good and bad .";"বসন্তের প্রত্যক্ষ যে অনেক অন্তত হোলো কাপ ছিলো না।";"1.528480"
"776";"according to research , it depends on how social media is being used .";"ভারী পাতা ইংরাজি অনুবাদ করতে আমার দু ঘন্টারও বেশি থাকে না।";"1.426592"
"777";"facebook has brought changes in its algorithm in january this year .";"এখন এতই গরম ধরে আপনাকে একদমই হবে।";"1.607477"
"778";"instead of content of third-party publishers , the company has started showing favorite content of family and friends at news feed .";"ভারী কুয়াশার জন্য অনুবাদ করতে তাহলে তাদের প্রথম";"0.479824"
"779";"in the face of criticism of failing to prevent false news spread in us elections in 2016 and selling ads to russia , the company has been criticized for its failure to prevent spreading false news in 2016 .";"সাধারণ এতই উতরাই আছে। তাদের আছে।";"0.016586"
"780";"sandberg said that facebook has continued to take action against those who try to spread fake news and use this platform for bad intentions . .";"ভারী পাতা ইংরাজি অনুবাদ করতে যান। "" না , তাদের প্রাণ কফি করার মতো সাহস ছিলো না।";"0.673453"
"781";"sheryl acknowledged , 2017 has been a year of challenge for facebook .";"শহরটাকে ঘরে লক্ষ জন্য হোলো কাপ চা আর এক";"1.528480"
"782";"2018 will be the same .";"টেবিলে ডাকো!";"6.766764"
